Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Rodri,16.0,es ESP,CB,26-333,13,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,20,22,90.9,1,18,0,0,0,Manchester City
Manuel Akanji,25.0,ch SUI,CB,27-306,56,0,0,0,0,0,0,0,0,68,1,0,0,0.0,0.0,0.0,0,0,59,65,90.8,4,54,0,0,0,Manchester City
John Stones,5.0,eng ENG,CB,28-358,34,0,0,0,0,0,0,0,0,46,0,0,1,0.0,0.0,0.0,1,0,44,45,97.8,0,35,0,0,0,Manchester City
Kyle Walker,2.0,eng ENG,"CB,RB",32-358,90,0,0,0,0,0,0,0,0,80,0,0,0,0.0,0.0,0.0,0,0,71,77,92.2,3,50,3,1,1,Manchester City
Stefan Ortega,18.0,de GER,GK,30-196,90,0,0,0,0,0,0,0,0,63,0,0,0,0.0,0.0,0.0,0,0,55,61,90.2,0,48,0,0,0,Manchester City
15 Players,,,,,990,1,1,0,0,15,2,0,0,801,8,4,5,1.2,1.2,1.0,26,2,661,733,90.2,36,543,28,18,7,Manchester City
Raheem Sterling,17.0,eng ENG,FW,28-164,68,0,0,0,0,2,2,0,0,29,0,0,2,0.3,0.3,0.1,4,0,12,18,66.7,2,21,6,3,2,Chelsea
Noni Madueke,31.0,eng ENG,FW,21-072,22,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.1,2,0,5,7,71.4,1,8,3,1,0,Chelsea
Kai Havertz,29.0,de GER,FW,23-344,84,0,0,0,0,3,1,1,0,33,1,0,0,0.2,0.2,0.3,3,0,24,27,88.9,2,26,1,1,1,Chelsea
Christian Pulisic,10.0,us USA,FW,24-245,6,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,4,0,0,0,Chelsea
Conor Gallagher,23.0,eng ENG,AM,23-104,68,0,0,0,0,2,0,0,0,22,3,0,2,0.3,0.3,0.0,0,0,12,13,92.3,2,14,0,1,1,Chelsea
Mykhailo Mudryk,15.0,ua UKR,AM,22-136,22,0,0,0,0,2,0,0,0,7,0,0,0,0.1,0.1,0.1,1,0,3,4,75.0,0,6,1,0,0,Chelsea
Ruben Loftus-Cheek,12.0,eng ENG,CM,27-118,80,0,0,0,0,0,0,0,0,30,1,1,0,0.0,0.0,0.0,1,0,23,25,92.0,6,20,5,4,2,Chelsea
Carney Chukwuemeka,30.0,eng ENG,CM,19-213,10,0,0,0,0,0,0,0,0,5,0,1,1,0.0,0.0,0.1,2,0,4,4,100.0,1,3,2,0,0,Chelsea
Enzo Fernández,5.0,ar ARG,CM,22-124,90,0,0,0,0,0,0,1,0,55,1,0,4,0.0,0.0,0.1,6,0,40,47,85.1,10,38,1,5,2,Chelsea
Lewis Hall,67.0,eng ENG,WB,18-255,80,0,0,0,0,2,2,0,0,43,5,0,0,0.1,0.1,0.3,2,0,25,30,83.3,1,27,2,2,0,Chelsea
Kalidou Koulibaly,26.0,sn SEN,"CB,WB",31-335,10,0,0,0,0,0,0,0,0,10,2,0,1,0.0,0.0,0.0,0,0,5,6,83.3,0,6,0,0,0,Chelsea
César Azpilicueta,28.0,es ESP,WB,33-266,90,0,0,0,0,0,0,0,0,41,2,0,1,0.0,0.0,0.0,2,0,29,35,82.9,3,25,0,2,1,Chelsea
Trevoh Chalobah,14.0,eng ENG,"CB,WB",23-320,90,0,0,0,0,2,1,0,0,51,0,0,1,0.2,0.2,0.0,0,0,39,43,90.7,0,35,0,1,1,Chelsea
Thiago Silva,6.0,br BRA,CB,38-241,90,0,0,0,0,0,0,0,0,57,1,3,2,0.0,0.0,0.0,0,0,46,48,95.8,2,38,0,0,0,Chelsea
Wesley Fofana,33.0,fr FRA,CB,22-155,90,0,0,0,0,0,0,0,0,57,0,1,2,0.0,0.0,0.0,1,0,43,51,84.3,1,41,0,0,0,Chelsea
Kepa Arrizabalaga,1.0,es ESP,GK,28-230,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,32,42,76.2,0,31,0,0,0,Chelsea
16 Players,,,,,990,0,0,0,0,13,6,2,0,497,17,6,16,1.2,1.2,1.1,24,0,345,404,85.4,31,343,21,20,10,Chelsea
